DEPARTAMENTO,PROVINCIA,DISTRITO,Temp_Media
AREQUIPA,CASTILLA,ORCOPAMPA,-0.787993223770805
AREQUIPA,CAYLLOMA,COPORAQUE,-0.4746102809906006
AREQUIPA,CAYLLOMA,ICHUPAMPA,-0.9560748736063639
AREQUIPA,CAYLLOMA,LARI,-1.8159533909388952
AREQUIPA,CAYLLOMA,MACA,-1.2321255207061768
AREQUIPA,CAYLLOMA,MADRIGAL,-0.49630141258239746
AREQUIPA,LA UNION,HUAYNACOTAS,-0.4327315966288249
AREQUIPA,LA UNION,PAMPAMARCA,0.5012873581477574
AREQUIPA,LA UNION,PUYCA,-0.7842183907826742
AREQUIPA,CAYLLOMA,CALLALLI,-2.7980731083796573
AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,-3.1893239974975587
AREQUIPA,AREQUIPA,CAYMA,0.09418202936649323
PUNO,SAN ROMAN,SAN MIGUEL,0.8510890603065491
AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,-4.249320690448467
AREQUIPA,CAYLLOMA,ACHOMA,-0.8374516413762019
PUNO,EL COLLAO,CAPAZO,-5.241691795555321
